published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
1/21/2021,360,363,355,358,-0.56,95967,34350179,-1
1/24/2021,364,372,360,363,1.4,134985,49317760,1
1/25/2021,363,368,360,364,0.28,99227,36037000,1
1/26/2021,367,367,360,361,-0.82,101916,36977739,-1
1/27/2021,357,361,351,352,-2.49,154145,54676231,-1
1/28/2021,350,352,342,343,-2.56,132572,45846339,-1
1/31/2021,343,345,336,337,-1.75,119107,40377556,-1
2/1/2021,340,345,336,341,1.19,96359,32688033,1
2/2/2021,343,349,340,349,2.35,183728,63437889,1
2/3/2021,350,364,347,349,0,190828,67576975,0
2/4/2021,348,358,343,358,2.58,157185,55657474,1
2/7/2021,358,364,355,357,-0.28,105210,37493557,-1
2/8/2021,358,392,356,379,6.16,343821,126655024,1
2/9/2021,385,387,364,374,-1.32,231832,86436173,-1
2/10/2021,372,380,365,375,0.27,141432,52855482,1
2/11/2021,380,381,371,373,-0.53,279098,104897131,-1
2/14/2021,374,374,365,366,-1.88,102420,37696993,-1
2/15/2021,373,382,369,378,3.28,188528,70770933,1
2/16/2021,382,394,378,386,2.12,351106,135885369,1
2/17/2021,405,405,384,392,1.55,291164,113731438,1
2/18/2021,411,411,391,399,1.79,244100,97395313,1
2/21/2021,400,402,390,393,-1.5,229052,90305315,-1
2/22/2021,391,393,377,382,-2.8,270912,104067552,-1
2/23/2021,382,382,369,377,-1.31,159540,59631863,-1
2/24/2021,376,390,374,378,0.27,112508,42936768,1
2/25/2021,380,381,371,373,-1.32,96853,36312517,-1
2/28/2021,370,373,364,364,-2.41,165028,60466292,-1
3/1/2021,364,372,358,368,1.1,175545,64134938,1
3/2/2021,372,372,354,354,-3.8,136420,48982959,-1
3/3/2021,348,377,345,364,2.82,205959,72956432,1
3/4/2021,382,382,365,370,1.65,140969,51961312,1
3/7/2021,377,377,363,364,-1.62,72575,26565672,-1
3/9/2021,365,365,358,360,-1.1,73368,26466318,-1
3/10/2021,364,364,355,359,-0.28,58494,21035194,-1
3/14/2021,355,357,350,351,-2.23,81663,28787570,-1
3/15/2021,355,360,347,350,-0.28,69635,24488696,-1
3/16/2021,350,357,348,352,0.57,48670,17053988,1
3/17/2021,352,358,350,356,1.14,39885,14126205,1
3/18/2021,356,364,356,360,1.12,60472,21708464,1
3/21/2021,354,367,354,365,1.39,53122,19267228,1
3/22/2021,370,370,356,359,-1.64,35065,12619142,-1
3/23/2021,357,360,356,356,-0.84,36436,13042068,-1
3/24/2021,356,365,356,364,2.25,75669,27380456,1
3/25/2021,364,367,360,360,-1.1,101330,36705592,-1
3/29/2021,362,362,358,359,-0.28,40275,14490086,-1
3/30/2021,358,370,358,369,2.79,160778,58994457,1
3/31/2021,370,378,367,376,1.9,138033,51560996,1
4/1/2021,381,382,375,376,0,145930,55136522,0
4/4/2021,381,381,374,378,0.53,138282,52153420,1
4/5/2021,382,382,373,375,-0.79,132289,49741836,-1
4/6/2021,370,376,370,376,0.27,86908,32577323,1
4/7/2021,385,385,370,379,0.8,181477,68922251,1
4/8/2021,380,386,375,378,-0.26,130696,49592019,-1
4/12/2021,380,385,378,384,1.59,193178,73936421,1
4/13/2021,386,394,385,393,2.34,197915,77088273,1
4/15/2021,399,414,397,400,1.78,315442,127126777,1
4/18/2021,408,415,395,396,-1,324364,130852349,-1
4/19/2021,395,400,387,389,-1.77,179999,70711205,-1
4/20/2021,389,392,385,387,-0.51,80484,31163845,-1
4/21/2021,388,391,375,377,-2.58,109867,41703884,-1
4/22/2021,395,395,374,380,0.8,81069,30652127,1
4/25/2021,382,382,368,369,-2.89,119058,44378548,-1
4/26/2021,365,370,361,362,-1.9,105360,38338452,-1
4/27/2021,375,375,360,374,3.31,101719,37457730,1
4/28/2021,390,390,376,379,1.34,204886,78290530,1
4/29/2021,397,397,378,394,3.96,252979,98778097,1
5/2/2021,400,403,393,402,2.03,365719,146388425,1
5/3/2021,402,409,394,396,-1.49,292782,117192492,-1
5/4/2021,392,398,391,395,-0.25,90664,35804847,-1
5/5/2021,400,400,394,395,0,117527,46554994,0
5/6/2021,400,400,393,396,0.25,119225,47117090,1
5/9/2021,400,401,392,395,-0.25,147654,58633359,-1
5/10/2021,394,401,394,400,1.27,159283,63529881,1
5/11/2021,403,405,398,402,0.5,97113,38920087,1
5/12/2021,403,403,398,400,-0.5,100537,40221808,-1
5/13/2021,400,402,397,398,-0.5,94261,37628168,-1
5/16/2021,405,407,400,406,2.01,240954,97342440,1
5/17/2021,410,419,408,416,2.46,438810,181867345,1
5/18/2021,420,420,415,418,0.48,255896,106714587,1
5/19/2021,420,430,418,418,0,314028,132856204,0
5/20/2021,420,426,420,424,1.44,164305,69519776,1
5/23/2021,424,436,414,435,2.59,251636,107560615,1
5/24/2021,443,444,433,437,0.46,378247,166199740,1
5/25/2021,443,443,425,428,-2.06,339818,146600459,-1
5/27/2021,410,432,410,432,0.93,263378,112483294,1
5/30/2021,440,457,435,447,3.47,376374,166799977,1
5/31/2021,450,460,442,444,-0.67,319523,143553846,-1
6/1/2021,455,455,436,442,-0.45,192795,84813879,-1
